Species,Protected,Endemic,Migratory
Cinnyris idenburgi,,Y,
Circaetus gallicus,Y,,Y
Circus aeruginosus,Y,,
Circus approximans,Y,,Y
Circus assimilis,Y,,
Circus melanoleucos,Y,,Y
Circus spilonotus,Y,,Y
Circus spilothorax,Y,,
Cissa chinensis,Y,,
Cissa thalassina,Y,Y,
Clamator coromandus,Y,,Y
Clanga clanga,Y,,
Cnemophilus loriae,Y,,
Cnemophilus sanguineus,Y,,
Cochoa azurea,Y,Y,
Cochoa beccarii,Y,Y,
Columba argentina,Y,,
Coracias temminckii,,Y,
Coracina atriceps,,Y,
Coracina fortis,,Y,
Coracina leucopygia,,Y,
Coracina novaehollandiae,,,Y
Coracina parvula,,Y,
Coracina schistacea,,Y,
Coracornis raveni,,Y,
Coracornis sanghirensis,,Y,
Corvus florensis,Y,Y,
Corvus fuscicapillus,Y,Y,
Corvus orru,Y,,
Corvus splendens,Y,,
Corvus tristis,Y,,
Corvus typicus,Y,Y,
Corvus unicolor,Y,Y,
Corvus validus,Y,Y,
Crocodylus novaeguineae,Y,,
Crocodylus porosus,Y,,
Crocodylus siamensis,Y,,
Crypsirina temia,Y,,
Cryptophaps poecilorrhoa,,Y,
Cuculus crassirostris,Y,,
Cuculus micropterus,,,Y
Cuculus optatus,,,Y
Cuculus saturatus,,,Y
Cuon alpinus,Y,,
Cyanoderma melanothorax,,Y,
Cyanoptila cyanomelana,,,Y
Cyclopsitta diophthalma,Y,,
Cyclopsitta gulielmitertii,Y,Y,
Cyclopsitta melanogenia,Y,,
Cyclopsitta nigrifrons,Y,,
Cymbidium hartinahianum,Y,,
Cynogale bennettii,Y,,
Cynornis brunneatus,Y,,
Cyornis colonus,,Y,
Cyornis concretus,Y,,
Cyornis djampeanus,,Y,
Cyornis hoevelli,,Y,
Cyornis oscillans,,Y,
Cyornis ruckii,Y,Y,
Cyornis sanfordi,Y,Y,
Cyornis stresemanni,,Y,
Dacelo tyro,Y,,
Daption capense,Y,,
Delichon dasypus,,,Y
Delphinus capensis,Y,,
Dendrocitta cinerascens,Y,,
Dendrocitta occipitalis,Y,Y,
Dendrolagus dorianus,Y,,
Dendrolagus goodfellowi,Y,,
Dendrolagus inustus,Y,,
Dendrolagus mbaiso,Y,,
Dendrolagus ursinus,Y,,
Dendronanthus indicus,,,Y
Dermochelys coriacea,Y,,
Dicaeum annae,,Y,
Dicaeum aureolimbatum,,Y,
Dicaeum beccarii,,Y,
Dicaeum celebicum,,Y,
Dicaeum erythrothorax,,Y,
Dicaeum ignicolle,,Y,
Dicaeum igniferum,,Y,
Dicaeum keiense,,Y,
Dicaeum nehrkorni,,Y,
Dicaeum sanguinolentum,,Y,
Dicaeum schistaceiceps,,Y,
Dicaeum trochileum,,Y,
Dicaeum wilhelminae,,Y,
Dicerorhinus sumatrensis,Y,,
Dicrurus annectens,,,Y
Dicrurus bracteatus,,,Y
Dicrurus hottentottus,,,Y
Dicrurus leucophaeus,,,Y
Dicrurus macrocercus,,,Y
Dicrurus sumatranus,,Y,
Drepanornis albertisi,Y,,
Drepanornis bruijnii,Y,,
Ducula luctuosa,,Y,
Ducula neglecta,,Y,
Ducula obiensis,,Y,
Ducula perspicillata,,Y,
Ducula spilorrhoa,,,Y
Dugong dugon,Y,,
Eclectus riedeli,,Y,
Eclectus roratus,Y,Y,
Edolisoma ceramense,,Y,
Edolisoma dispar,,Y,
Edolisoma grayi,,Y,Y
Edolisoma meyerii,,Y,Y
Edolisoma morio,,Y,
Edolisoma obiense,,Y,Y
Edolisoma sula,,Y,
Edolisoma tenuirostre,,,Y
Egretta eulophotes,Y,,Y
Egretta garzetta,,,Y
Egretta novaehollandiae,Y,,Y
Egretta picata,Y,,Y
Egretta sacra,,,Y
Elanus caeruleus,Y,,
Elephas maximus,Y,,
Enicurus velatus,,Y,
Enodes erythrophris,,Y,
Eos bornea,Y,Y,
Eos cyanogenia,Y,Y,
Eos histrio,Y,Y,
Eos reticulata,Y,Y,
Eos semilarvata,Y,Y,
Eos squamata,Y,Y,
Ephippiorhynchus asiaticus,Y,,
Epimachus fastosus,Y,,
Epimachus meyeri,Y,,
Eretmochelys imbricata,Y,,
Erythrogonys cinctus,Y,,
Erythropitta arquata,Y,,
Erythropitta caeruleitorques,Y,Y,
Erythropitta celebensis,Y,Y,
Erythropitta dohertyi,Y,Y,
Erythropitta granatina,Y,,
Erythropitta inspeculata,Y,Y,
Erythropitta macklotii,Y,,
Erythropitta palliceps,Y,Y,
Erythropitta rubrinucha,Y,Y,
Erythropitta rufiventris,Y,Y,
Erythropitta venusta,Y,Y,
Erythrotriorchis buergersi,Y,,
Esacus magnirostris,Y,,
Eudynamys orientalis,,,Y
Eudynamys scolopaceus,,,Y
Eulabeornis castaneoventris,Y,,
Eulipoa wallacei,Y,Y,
Eumyias additus,,Y,
Eumyias indigo,,Y,
Eumyias thalassinus,,,Y
Eurostopodus argus,,,Y
Eurostopodus diabolicus,Y,Y,
Eurycoma apiculata,Y,,
Eurylaimus javanicus,,Y,
Eurystomus orientalis,,,Y
Eutrichomyias rowleyi,Y,Y,
Falco berigora,Y,,
Falco cenchroides,Y,,
Falco longipennis,Y,,
Falco moluccensis,Y,,
Falco peregrinus,Y,,Y
Falco severus,Y,,Y
Falco subbuteo,Y,,
Falco tinnunculus,Y,,
Feresa attenuata,Y,,
Ficedula bonthaina,,Y,
Ficedula buruensis,,Y,
Ficedula henrici,,Y,
Ficedula mugimaki,,,Y
Ficedula narcissina,,,Y
Ficedula riedeli,,Y,
Ficedula rufigula,,Y,
Ficedula zanthopygia,,,Y
Fregata andrewsi,Y,,Y
Fregata minor,Y,,
Fulica atra,,,Y
Gallicolumba hoedtii,Y,,
Gallicrex cinerea,,,Y
Gallinago gallinago,,,Y
Gallinago hardwickii,,,Y
Gallinago megala,,,Y
Gallinago stenura,,,Y
Gallinula chloropus,,,Y
Garrulax bicolor,Y,Y,
Garrulax leucolophus,Y,,
Garrulax rufifrons,Y,Y,
Gelochelidon macrotarsa,,,Y
Gelochelidon nilotica,Y,,Y
Geoffroyus geoffroyi,Y,,
Geoffroyus simplex,Y,,
Geokichla citrina,,,Y
Geokichla erythronota,,Y,
Geokichla joiceyi,,Y,
Geokichla leucolaema,,Y,
Geokichla mendeni,,Y,
Geokichla sibirica,,,Y
Gerygone dorsalis,,Y,
Glareola maldivarum,Y,,Y
Glaucidium castanopterum,,Y,
Globicephala macrorhynchus,Y,,
Gorsachius goisagi,Y,,
Gorsachius melanolophus,Y,,Y
Goura cristata,Y,Y,
Goura sclaterii,Y,,
Goura victoria,Y,,
Gracula religiosa,Y,,
Gracula robusta,Y,Y,
Gracula venerata,Y,,
Gracupica jalla,,Y,
Grallina cyanoleuca,,,Y
Grampus griseus,Y,,
Gygis alba,Y,,
Gymnocrex rosenbergii,Y,Y,
Gymnocrex talaudensis,Y,Y,
Gymnophaps mada,,Y,
Gymnophaps stalkeri,,Y,
Gyps himalayensis,Y,,
Gypsophila rufipecta,,Y,
Habroptila wallacii,Y,Y,
Haematopus fuliginosus,Y,,
Haematopus longirostris,Y,,
Halcyon coromanda,,,Y
Halcyon cyanoventris,,Y,
Haliaeetus leucogaster,Y,,
Haliastur indus,Y,,
Haliastur sphenurus,Y,,Y
Harpactes diardii,Y,,
Harpactes duvaucelli,Y,,
Harpactes erythrocephalus,Y,,
Harpactes kasumba,Y,,
Harpactes oreskios,Y,,
Harpactes orrhophaeus,Y,,
Harpactes whiteheadi,Y,,
Harpyopsis novaeguineae,Y,,
Heinrichia calligyna,,Y,
Heinrichia simplex,,Y,
Helarctos malayanus,Y,,
Heleia javanica,Y,Y,
Heleia pinaiae,,Y,
Heleia squamiceps,,Y,
Heleia superciliaris,,Y,
Heleia wallacei,Y,Y,
Heliopais personatus,Y,,
Helopsaltes certhiola,,,Y
Helopsaltes fasciolata,,,Y
Helopsaltes ochotensis,,,Y
Hemicircus concretus,,Y,
Hemixos leucogrammicus,,Y,
Henicopernis longicauda,Y,,
Heritiera globosa,Y,,
Heteromyias albispecularis,,Y,
Heteroscenes pallidus,,,Y
Hieraaetus pennatus,Y,,
Hieraaetus weiskei,Y,,
Hierococcyx hyperythrus,,,Y
Hierococcyx nisicolor,,,Y
Hierococcyx sparverioides,,,Y
Hierococcyx vagans,,,Y
Himantopus himantopus,Y,,Y
Himantura oxyrhyncha,Y,,
Himantura polylepis,Y,,
Himantura signifer,Y,,
Hippopus hippopus,Y,,
Hippopus porcellanus,Y,,
Hirundapus caudacutus,,,Y
Hirundapus cochinchinensis,,,Y
Hirundo rustica,,,Y
Homaloptera gymnogaster,Y,,
Horornis carolinae,,Y,
Hydrobates matsudairae,Y,,Y
Hydrobates monorhis,Y,,Y
Hydrochous gigas,Y,,
Hydrophasianus chirurgus,,,Y
Hydroprogne caspia,Y,,Y
Hydrornis baudii,Y,,
Hydrornis caeruleus,Y,,
Hydrornis guajanus,Y,Y,
Hydrornis irena,Y,,
Hydrornis schneideri,Y,Y,
Hydrornis schwaneri,Y,,
Hylobates agilis,Y,,
Hylobates albibarbis,Y,,
Hylobates klosii,Y,,
Hylobates lar,Y,,
Hylobates moloch,Y,,
Hylobates muelleri,Y,,
Hylocitrea bonensis,,Y,
