,Species,Species_Syn,Protected,Endemic,Migratory,End_Islands,Notes
580,Hypsipetes aureus,NA,NA,Y,NA,SULAWESI (PULAU TOGIAN),https://www.iucnredlist.org/species/103842202/113109364
581,Hypsipetes chloris,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/103841956/104140565
582,Hypsipetes harterti,NA,NA,Y,NA,SULAWESI (PULAU PELENG),https://www.iucnredlist.org/species/103842855/113109016
583,Hypsipetes longirostris,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/103842733/104140959
584,Hypsipetes lucasi,NA,NA,Y,NA,MALUKU (PULAU OBI),https://www.iucnredlist.org/species/103841328/113109717
585,Hypsipetes mysticalis,NA,NA,Y,NA,MALUKU (PULAU BURU),https://www.iucnredlist.org/species/103840832/104141312
586,Hypsipetes platenae,NA,NA,Y,NA,SULAWESI (KEPULAIAN SANGIHE),https://www.iucnredlist.org/species/103842251/134465614
587,Hystrix javanica,NA,Y,NA,NA,NA,NA
588,Ichthyophaga humilis,NA,Y,NA,NA,NA,NA
589,Ichthyophaga ichthyaetus,NA,Y,NA,NA,NA,NA
590,Ictinaetus malaiensis,NA,Y,NA,NA,NA,NA
591,Indicator archipelagicus,NA,Y,NA,NA,NA,NA
592,Indopacetus pacificus,NA,Y,NA,NA,NA,NA
593,Iomys horsfieldi,NA,Y,NA,NA,NA,NA
594,Ixobrychus cinnamomeus,NA,NA,NA,Y,NA,NA
595,Ixobrychus dubius,NA,NA,NA,Y,NA,NA
596,Ixobrychus eurhythmus,NA,Y,NA,Y,NA,NA
597,Ixobrychus flavicollis,NA,Y,NA,Y,NA,NA
598,Ixobrychus sinensis,NA,NA,NA,Y,NA,NA
599,Ixos sumatranus,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/103823086/113106779
600,Ixos virescens,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/103823071/113107307
601,Johannesteijsmannia altifrons,NA,Y,NA,NA,NA,NA
602,Kogia breviceps,NA,Y,NA,NA,NA,NA
603,Kogia sima,NA,Y,NA,NA,NA,NA
604,Lagenodelphis hosei,NA,Y,NA,NA,NA,NA
605,Lalage aurea,NA,NA,Y,NA,MALUKU UTARA,https://www.iucnredlist.org/species/22706669/94082818
606,Lalage leucopygialis,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22706654/130421664
607,Lalage moesta,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22706672/111051299
608,Laniellus albonotatus,NA,Y,Y,NA,JAWA (BARAT),https://www.iucnredlist.org/species/22716693/110968776
609,Lanius cristatus,NA,NA,NA,Y,NA,NA
610,Lanius schach,NA,NA,NA,Y,NA,NA
611,Lanius tigrinus,NA,NA,NA,Y,NA,NA
612,Lanthanotus borneensis,NA,Y,NA,NA,NA,NA
613,Lariscus hosei,NA,Y,NA,NA,NA,NA
614,Larus brunnicephalus,NA,Y,NA,Y,NA,NA
615,Larus fuscus,NA,Y,NA,NA,NA,NA
616,Larus novaehollandiae,NA,Y,NA,NA,NA,NA
617,Larus ridibundus,NA,Y,NA,Y,NA,NA
618,Larus schistisagus,NA,Y,NA,NA,NA,NA
619,Larvivora cyane,NA,NA,NA,Y,NA,NA
620,Latimeria menadoensis,NA,Y,NA,NA,NA,NA
621,Leiothrix laurinae,NA,Y,Y,NA,SUMATERA,"This species is restricted to montane evergreen forest in Sumatra, Indonesia."
622,Lepidochelys olivacea,NA,Y,NA,NA,NA,NA
623,Leptophryne cruentata,NA,Y,NA,NA,NA,NA
624,Leptoptilos javanicus,NA,Y,NA,Y,NA,NA
625,Leucopsar rothschildi,NA,NA,Y,NA,BALI,https://www.iucnredlist.org/species/22710912/183006359
626,Leucopsar rothschildii,NA,Y,NA,NA,NA,NA
627,Lichmera argentauris,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22703946/93944745
628,Lichmera monticola,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22703969/130243523
629,Lichmera notabilis,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22703976/93946328
630,Lichmera squamata,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22703959/130243281
631,Limnodromus scolopaceus,NA,Y,NA,NA,NA,NA
632,Limnodromus semipalmatus,NA,Y,NA,Y,NA,NA
633,Limosa lapponica,NA,NA,NA,Y,NA,NA
634,Limosa limosa,NA,NA,NA,Y,NA,NA
635,Loboparadisea sericea,NA,Y,NA,NA,NA,NA
636,Locustella castanea,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/216914363/217222733
637,Locustella lanceolata,NA,NA,NA,Y,NA,NA
638,Locustella montis,NA,NA,Y,NA,JAWA & BALI,https://www.iucnredlist.org/species/103785896/112878188
639,Lonchura ferruginosa,NA,NA,Y,NA,JAWA & BALI,https://www.iucnredlist.org/species/22719844/132132544
640,Lonchura oryzivora,Padda oryzivora,Y,Y,NA,NA,https://www.iucnredlist.org/species/22719912/183133210#assessment-information
641,Padda oryzivora,NA,Y,Y,NA,NA,https://www.iucnredlist.org/species/22719912/183133210#assessment-information
642,Lonchura vana,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22719861/217858994
643,Lophorina magnifica,NA,Y,NA,NA,NA,NA
644,Lophorina superba,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/181524349/182248687
645,Lophotriorchis kienerii,NA,Y,NA,NA,NA,NA
646,Lophura bulweri,NA,Y,NA,NA,NA,NA
647,Loriculus amabilis,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22732102/95042705
648,Loriculus aurantiifrons,NA,Y,NA,NA,NA,NA
649,Loriculus catamene,NA,Y,Y,NA,SULAWESI (KEPULAUAN SANGIHE),"Loriculus catamene is endemic to the small island of Sangihe, north of Sulawesi, Indonesia (BirdLife International 2001). It was considered 'not particularly plentiful' as long ago as 1886-1887, but has more recently been found to be distributed throughout the island and locally rather common. A survey in 1998-1999 resulted in a population estimate for Sangihe Hanging-parrot of 10,700-46,200 individuals (Riley 2002) and found the species to be widespread on the island and tolerant of degraded and cultivated habitats, with a broad diet. In 2004 it was quite common and widespread in a variety of degraded habitats (forest edge, secondary forest, coconut plantations and garden areas) (R. Hutchinson in litt. 2009). Gunung Sahendaruman is the single most important site for the species."
650,Loriculus exilis,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22685416/185741229
651,Loriculus flosculus,NA,Y,Y,NA,NUSA TENGGARA,"Loriculus flosculus is endemic to Flores and satellite islands, Nusa Tenggara, Indonesia. It is known from eight documented localities, at some of which it is locally common in groups of up to 20 birds (BirdLife International 2001). At Tanjung Kerita Mese, population density was estimated at c.10 individuals per hectare. The species is quite easily overlooked. Recent records on Rinca Island from outside its known altitudinal range and preferred habitat (Imansyah et al. 2008) suggest that it may be more cosmopolitan in its distribution and therefore less threatened, but this requires further research."
652,Loriculus galgulus,NA,Y,NA,NA,NA,NA
653,Loriculus pusillus,NA,Y,Y,NA,JAWA & BALI,https://www.iucnredlist.org/species/22685422/93072296
654,Loriculus sclateri,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22732108/95042874
655,Loriculus stigmatus,NA,Y,Y,Y,SULAWESI,https://www.iucnredlist.org/species/22685389/93071159
656,Lorius domicella,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22684586/93036702
657,Lorius garrulus,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22684581/117219105
658,Lorius lory,NA,Y,NA,NA,NA,NA
