,Species,Species_Syn,Protected,Endemic,Migratory,End_Islands,Notes
86,Aplonis crassa,NA,NA,Y,NA,MALUKU (PULAU JAMDENA),"Aplonis crassa is restricted to the Banda Sea Islands Endemic Bird Area, Indonesia, where it occurs only on the Tanimbar group. It is common within this small range."
87,Aplonis magna,NA,NA,Y,NA,PAPUA (PULAU BIAK),https://www.iucnredlist.org/species/22710559/94251613
88,Aplonis mysolensis,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22710544/131958687
89,Aprosmictus erythropterus,NA,Y,NA,NA,NA,NA
90,Aprosmictus jonquillaceus,NA,Y,NA,NA,NA,NA
91,Apus pacificus,NA,NA,NA,Y,NA,NA
92,Aquila audax,NA,Y,NA,NA,NA,NA
93,Aquila fasciata,NA,Y,NA,NA,NA,-
94,Aquila gurneyi,NA,Y,NA,NA,NA,NA
95,Aramidopsis plateni,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22692552/93358553
96,Arborophila javanica,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/22679044/92800662
97,Arborophila rolli,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22732183/95043656
98,Arborophila rubrirostris,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22679060/130024385
99,Arborophila sumatrana,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22729814/95021881
100,Archboldia papuensis,NA,Y,NA,NA,NA,NA
101,Arctictis binturong,NA,Y,NA,NA,NA,NA
102,Arctonyx collaris,NA,Y,NA,NA,NA,NA
103,Ardea alba,NA,Y,NA,Y,NA,NA
104,Ardea cinerea,NA,NA,NA,Y,NA,NA
105,Ardea intermedia,NA,NA,NA,Y,NA,NA
106,Ardea purpurea,NA,NA,NA,Y,NA,NA
107,Ardea sumatrana,NA,Y,NA,NA,NA,NA
108,Ardenna carneipes,NA,Y,NA,NA,NA,NA
109,Ardenna pacifica,NA,Y,NA,Y,NA,NA
110,Ardeola bacchus,NA,Y,NA,Y,NA,NA
111,Ardeotis australis,NA,Y,NA,NA,NA,NA
112,Arenaria interpres,NA,NA,NA,Y,NA,NA
113,Argusianus argus,NA,Y,NA,NA,NA,NA
114,Artamus cinereus,NA,NA,NA,Y,NA,NA
115,Artamus leucoryn,NA,NA,NA,Y,NA,NA
116,Artamus monachus,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22706308/130417628
117,Astrapia nigra,NA,Y,Y,NA,PAPUA BARAT,https://www.iucnredlist.org/species/22706212/94056479
118,Astrapia splendidissima,NA,Y,NA,NA,NA,NA
119,Aviceda jerdoni,NA,Y,NA,NA,NA,NA
120,Aviceda leuphotes,NA,Y,NA,Y,NA,NA
121,Aviceda subcristata,NA,Y,NA,NA,NA,NA
122,Axis kuhlii,NA,Y,Y,NA,JAWA (PULAU BAWEAN),https://www.iucnredlist.org/species/2447/73071875
123,Aythya fuligula,NA,NA,NA,Y,NA,NA
124,Babyrousa babyrussa,NA,Y,Y,NA,MALUKU (PULAU BURU & TALIABU),https://www.iucnredlist.org/species/2461/9441445
125,Balaenoptera acutorostrata,NA,Y,NA,NA,NA,NA
126,Balaenoptera bonaerensis,NA,Y,NA,NA,NA,NA
127,Balaenoptera borealis,NA,Y,NA,NA,NA,NA
128,Balaenoptera edeni,NA,Y,NA,NA,NA,NA
129,Balaenoptera musculus,NA,Y,NA,NA,NA,NA
130,Balaenoptera omurai,NA,Y,NA,NA,NA,NA
131,Balantiocheilos melanopterus,NA,Y,NA,NA,NA,NA
132,Barbodes microps,NA,Y,NA,NA,YOGYAKARTA,"This barb species is known only from the cave system in the Gunung Sewu Karst Area of Yogyakarta (southern central part of Java, Indonesia), where the type locality of the species is located (Jomblang cave). The species has also been recorded from two other caves in the same area, the Ngingrong and Gremeng Caves (Rahmadi et al. 2018). Its extent of occurrence (EOO) is estimated to range around 25.3-141.7 km"
133,Basilornis celebensis,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22710958/131960712
134,Basilornis corythaix,NA,NA,Y,NA,MALUKU (PULAU SERAM),https://www.iucnredlist.org/species/22710965/94270274
135,Basilornis galeatus,NA,NA,Y,NA,MALUKU (PULAU PELENG & TALIABU),"Basilornis galeatus is restricted to the Banggai (Peleng, Banggai) and Sula Islands (Taliabu, Seho and Mangole), Indonesia."
136,Batagur affinis,NA,Y,NA,NA,NA,NA
137,Batagur borneoensis,NA,Y,NA,NA,NA,NA
138,Batrachostomus harterti,NA,Y,NA,NA,NA,NA
139,Batrachostomus poliolophus,NA,NA,Y,NA,SUMATERA,"Batrachostomus poliolophus is endemic to Sumatra, Indonesia, where it is known from a small number of records from the Barisan range, but is presumably greatly under-recorded because it is nocturnal (BirdLife International 2001)."
140,Berenicornis comatus,NA,Y,NA,NA,NA,NA
141,Birgus latro,NA,Y,NA,NA,NA,NA
142,Borassodendron borneense,NA,Y,NA,NA,NA,NA
143,Bos javanicus,NA,Y,NA,NA,NA,NA
144,Brachypteryx floris,NA,NA,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/103866688/104215750
145,Brachypteryx montana,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/103866595/132045481
146,Brachypteryx saturata,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/103866639/104215462
147,Bubalus depressicornis,NA,Y,NA,NA,NA,NA
148,Bubalus quarlesi,NA,Y,NA,NA,NA,NA
149,Bubulcus ibis,NA,NA,NA,Y,NA,NA
150,Buceros bicornis,NA,Y,NA,NA,NA,NA
151,Buceros rhinoceros,NA,Y,NA,NA,NA,NA
152,Bulweria bulwerii,NA,Y,NA,Y,NA,NA
153,Bulweria fallax,NA,Y,NA,NA,NA,NA
154,Burhinus grallarius,NA,Y,NA,NA,NA,NA
155,Butastur indicus,NA,Y,NA,Y,NA,NA
156,Butastur liventer,NA,Y,NA,NA,NA,NA
157,Butastur teesa,NA,Y,NA,NA,NA,NA
158,Buteo japonicus,NA,Y,NA,NA,NA,NA
159,Butorides striata,NA,NA,NA,Y,NA,NA
160,Cacatua alba,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22684789/178092137
161,Cacatua citrinocristata,NA,NA,Y,NA,NUSA TENGGARA (PULAU SUMBA),https://www.iucnredlist.org/species/200296433/201545199
162,Cacatua galerita,NA,Y,NA,NA,NA,NA
163,Cacatua goffiniana,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22684800/178109782
164,Cacatua moluccensis,NA,Y,Y,NA,MALUKU (PULAU SERAM),https://www.iucnredlist.org/species/22684784/93046425
165,Cacatua sanguiena,NA,Y,NA,NA,NA,NA
166,Cacatua sulphurea,NA,Y,NA,NA,NA,NA
167,Cacomantis aeruginosus,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22683935/118206284
168,Cacomantis flabelliformis,NA,NA,NA,Y,NA,NA
169,Cacomantis merulinus,NA,NA,NA,Y,NA,NA
170,Cacomantis sonneratii,NA,NA,NA,Y,NA,NA
171,Cairina scutulata,Asarcornis scutulata,Y,NA,NA,NA,NA
172,Asarcornis scutulata,NA,Y,NA,NA,NA,NA
173,Calidris acuminata,NA,NA,NA,Y,NA,NA
174,Calidris alba,NA,NA,NA,Y,NA,NA
175,Calidris canutus,NA,NA,NA,Y,NA,NA
176,Calidris falcinellus,NA,NA,NA,Y,NA,NA
177,Calidris ferruginea,NA,NA,NA,Y,NA,NA
178,Calidris pugnax,NA,NA,NA,Y,NA,NA
179,Calidris ruficollis,NA,NA,NA,Y,NA,NA
180,Calidris subminuta,NA,NA,NA,Y,NA,NA
181,Calidris temminckii,NA,NA,NA,Y,NA,NA
182,Calidris tenuirostris,NA,NA,NA,Y,NA,NA
183,Caloenas nicobarica,NA,Y,NA,NA,NA,NA
184,Calonectris leucomelas,NA,Y,NA,Y,NA,NA
185,Caloramphus hayii,NA,Y,NA,NA,NA,NA
186,Calorhamphus fuliginosus,NA,Y,NA,NA,NA,tidak ada di IUCN
187,Camptostemon philippinense,NA,Y,NA,NA,NA,di IUCN namanya Camptostemon philippinensis
188,Capricornis sumatraensis,NA,Y,NA,NA,NA,NA
189,Caprimulgus celebensis,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22689937/93253421
190,Caprimulgus concretus,NA,Y,NA,NA,NA,NA
191,Caprimulgus jotaka,NA,NA,NA,Y,NA,NA
192,Caprimulgus meesi,NA,NA,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22732941/95052248
193,Caprimulgus pulchellus,NA,NA,Y,NA,SUMATERA & JAWA,"Caprimulgus pulchellus is restricted to Sumatra (South Barisan Mountains) and Java, Indonesia (BirdLife International 2001). Surveys in Java reported the species to be uncommon (1-3 individuals observed per day) at Gunung Salak and Gunung Slamet (Mittermeier et al. 2014). It is likely to be moderately secure in small numbers at higher elevations, but losing habitat and populations at lower levels where encroachment is occurring."
194,Carcinoscorpius rotundicauda,NA,Y,NA,NA,NA,NA
195,Caretta caretta,NA,Y,NA,NA,NA,NA
196,Carettochelys insculpta,NA,Y,NA,NA,NA,NA
197,Caridonax fulgidus,NA,Y,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22683512/92988527
198,Carpococcyx viridis,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22724459/112393882
199,Carterornis pileatus,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22707255/94113700
200,Caryota no,NA,Y,NA,NA,NA,NA
201,Cassis cornuta,NA,Y,NA,NA,NA,tidak ada di IUCN
202,Castanopsis argentea,NA,Y,NA,NA,SUMATERA & JAWA,"This species is native to Indonesia where it is present on the islands of Sumatra and Java. The species is found in many more localities in Java compared to Sumatra (Soepadmo 1972, Abdulhadi <em>et al. </em>1998). Presence in Kalimantan has been noted but there is no herbarium record (K. Kartawinata pers. comm. 2017). It is found from 150 to 1,400 m asl (Soepadmo 1972)."
203,Casuarius bennetti,NA,Y,NA,NA,NA,NA
204,Casuarius casuarius,NA,Y,NA,NA,NA,NA
205,Casuarius unappendiculatus,NA,Y,NA,NA,NA,NA
206,Cataponera turdoides,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22708538/94163855
207,Catharacta maccormicki,NA,Y,NA,NA,NA,NA
208,Catopuma badia,NA,Y,NA,NA,NA,NA
209,Catopuma temminckii,NA,Y,NA,NA,NA,NA
210,Cecropis daurica,NA,NA,NA,Y,NA,NA
211,Celebesica abbotti,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22706532/94075363
212,Centropus celebensis,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22684303/93024173
213,Centropus chalybeus,NA,NA,Y,NA,PAPUA (PULAU BIAK),https://www.iucnredlist.org/species/22684219/93019214
214,Centropus goliath,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22684195/93017963
215,Centropus nigrorufus,NA,Y,Y,NA,JAWA,"Centropus nigrorufus is endemic to Indonesia, where it occurs on Java, and possibly Sumatra (from where there is one specimen of doubtful origin and recent unconfirmed sight records) (BirdLife International 2001). It is now scarce or rare, sparsely distributed, although it may be under-recorded. It can still be found in suitable habitat at scattered sites along the north Java coast, and an isolated population remains at Muara Angke (N. Brickle in litt. 2007, 2012), which is completely surrounded by Jakarta. The species is occasionally recorded on sale in bird markets and displayed in zoos, but records in the wild are now few."
216,Centropus rectunguis,NA,Y,NA,NA,NA,"Centropus rectunguis occurs from extreme southern Thailand, through Peninsular Malaysia to Malaysian Borneo (Sabah and Sarawak), Brunei and Indonesia (Kalimantan and Sumatra) (BirdLife International 2001). It appears to be rare in Thailand and Sumatra, but apparently locally fairly common in Peninsular Malaysia and Borneo. In Sabah, Borneo the species was found at similar abundance in unlogged and in once- or twice-logged forest (Edwards et al. 2010)."
217,Centropus spilopterus,NA,NA,Y,NA,MALUKU (PULAU KEI),https://www.iucnredlist.org/species/22684212/93018899
218,Ceratolobus glaucescens,NA,Y,NA,NA,NA,NA
219,Cethosia myrina,NA,Y,NA,NA,NA,NA
220,Ceyx cajeli,NA,NA,Y,NA,MALUKU (PULAU BURU),https://www.iucnredlist.org/species/22726607/215997335
221,Ceyx erithaca,NA,NA,NA,Y,NA,NA
222,Ceyx fallax,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/45355839/185673753
223,Ceyx lepidus,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22726591/94926707
224,Ceyx sangirensis,NA,Y,Y,NA,SULAWESI (PULAU SANGIHE),https://www.iucnredlist.org/species/45355856/134198542
225,Ceyx wallacii,NA,NA,Y,NA,MALUKU (PULAU TALIABU),https://www.iucnredlist.org/species/61659795/177078310
226,Chalcites basalis,NA,NA,NA,Y,NA,NA
227,Chalcites crassirostris,NA,NA,NA,Y,NA,NA
228,Chalcites lucidus,NA,NA,NA,Y,NA,NA
229,Chalcites minutillus,NA,NA,NA,Y,NA,NA
230,Chalcopsitta atra,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22684488/93032251
231,Chalcopsitta duivenbodei,NA,Y,NA,NA,NA,NA
232,Chalcopsitta scintillata,NA,Y,NA,NA,NA,NA
233,Charadrius alexandrinus,NA,Y,NA,Y,NA,NA
234,Charadrius dealbatus,NA,NA,NA,Y,NA,NA
235,Charadrius dubius,NA,NA,NA,Y,NA,NA
236,Charadrius javanicus,NA,Y,NA,NA,NA,NA
237,Charadrius leschenaultii,NA,NA,NA,Y,NA,NA
238,Charadrius mongolus,NA,NA,NA,Y,NA,NA
239,Charadrius placidus,NA,Y,NA,NA,NA,NA
240,Charadrius ruficapillus,NA,Y,NA,NA,NA,NA
241,Charadrius veredus,NA,Y,NA,Y,NA,NA
242,Charmosyna josefinae,NA,Y,NA,NA,NA,NA
243,Charmosyna multistriata,NA,Y,NA,NA,NA,NA
244,Charmosyna papou,NA,Y,Y,NA,PAPUA BARAT,https://www.iucnredlist.org/species/22725340/94890781
245,Charmosyna placentis,NA,Y,NA,NA,NA,NA
246,Charmosyna pulchella,NA,Y,NA,NA,NA,NA
247,Charmosyna rubronotata,NA,Y,NA,NA,NA,NA
248,Charmosyna stellae,NA,Y,NA,NA,NA,NA
249,Charmosyna toxopei,NA,Y,Y,NA,MALUKU (PULAU BURU),https://www.iucnredlist.org/species/22684671/117323495
250,Charmosyna wilhelminae,NA,Y,NA,NA,NA,NA
251,Charonia tritonis,NA,Y,NA,NA,NA,NA
252,Chelodina mccordii,NA,Y,NA,NA,NA,NA
253,Chelodina novaeguineae,NA,Y,NA,NA,NA,NA
254,Chelonia mydas,NA,Y,NA,NA,NA,NA
255,Chitala borneensis,NA,Y,NA,NA,NA,NA
256,Chitala hypselonotus,NA,Y,NA,NA,NA,NA
257,Chitala lopis,NA,Y,NA,NA,NA,NA
258,Chitra chitra,NA,Y,NA,NA,NA,NA
259,Chlamydera cerviniventris,NA,Y,NA,NA,NA,NA
260,Chlamydera lauterbachi,NA,Y,NA,NA,NA,NA
261,Chlamydosaurus kingii,NA,Y,NA,NA,NA,NA
262,Chlidonias hybrida,NA,Y,NA,Y,NA,NA
263,Chlidonias leucopterus,NA,Y,NA,Y,NA,NA
264,Chloropsis cochinchinensis,NA,Y,Y,NA,NA,https://www.iucnredlist.org/species/103775551/183128416
265,Chloropsis cyanopogon,NA,Y,NA,NA,NA,NA
266,Chloropsis kinabaluensis,NA,Y,NA,NA,NA,NA
267,Chloropsis media,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22732267/156989848
268,Chloropsis moluccensis,NA,Y,NA,NA,NA,NA
269,Chloropsis sonnerati,NA,Y,NA,NA,NA,NA
270,Chloropsis venusta,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22704969/131660711
271,Chrysococcyx maculatus,NA,NA,NA,Y,NA,NA
272,Chrysococcyx xanthorhynchus,NA,NA,NA,Y,NA,NA
273,Chrysocolaptes strictus,NA,NA,Y,NA,JAWA & BALI,https://www.iucnredlist.org/species/22726560/94925352
274,Chrysocorythus estherae,NA,Y,Y,NA,"SUMATERA, JAWA & SULAWESI",https://www.iucnredlist.org/species/103764840/94664329
275,Chrysophlegma mentale,NA,NA,Y,NA,JAWA,"Chrysophlegma mentale is endemic to Java, Indonesia, where it occurs in the west of the island (Winkler et al. 1995, del Hoyo et al. 2002)."
276,Cicinnurus magnificus,NA,Y,NA,NA,NA,NA
277,Cicinnurus regius,NA,Y,NA,NA,NA,NA
278,Cicinnurus respublica,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22706202/180775851
279,Ciconia episcopus,NA,Y,NA,NA,NA,NA
280,Ciconia stormi,NA,Y,NA,Y,NA,NA
281,Cinnyris buettikoferi,NA,Y,Y,NA,NUSA TENGGARA (PULAU SUMBA),https://www.iucnredlist.org/species/22717801/94552966
282,Cinnyris idenburgi,NA,NA,Y,NA,PAPUA & PAPUA NEW GUINEA,https://www.iucnredlist.org/species/103804169/104298833
283,Circaetus gallicus,NA,Y,NA,Y,NA,NA
284,Circus aeruginosus,NA,Y,NA,NA,NA,NA
285,Circus approximans,NA,Y,NA,Y,NA,NA
286,Circus assimilis,NA,Y,NA,NA,NA,NA
287,Circus melanoleucos,NA,Y,NA,Y,NA,NA
288,Circus spilonotus,NA,Y,NA,Y,NA,NA
289,Circus spilothorax,NA,Y,NA,NA,NA,NA
290,Cissa chinensis,NA,Y,NA,NA,NA,NA
291,Cissa thalassina,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22724821/182915285
292,Clamator coromandus,NA,Y,NA,Y,NA,NA
293,Clanga clanga,NA,Y,NA,NA,NA,NA
294,Cnemophilus loriae,NA,Y,NA,NA,NA,NA
295,Cnemophilus sanguineus,NA,Y,NA,NA,NA,NA
296,Cochoa azurea,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22710153/180780968
297,Cochoa beccarii,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22710150/110098195
298,Columba argentina,NA,Y,NA,NA,NA,NA
299,Coracias temminckii,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22682905/130084513
300,Coracina atriceps,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22706486/94072618
301,Coracina fortis,NA,NA,Y,NA,MALUKU (PULAU BURU),https://www.iucnredlist.org/species/22706489/110408868
302,Coracina leucopygia,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22706519/94074654
303,Coracina novaehollandiae,NA,NA,NA,Y,NA,NA
304,Coracina parvula,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22706529/94075192
305,Coracina schistacea,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22706479/94072285
306,Coracornis raveni,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22705425/94017933
307,Coracornis sanghirensis,NA,NA,Y,NA,SULAWESI (KEPULAUAN SANGIHE),https://www.iucnredlist.org/species/22724568/181020902
308,Corvus florensis,NA,Y,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22705956/110289015
309,Corvus fuscicapillus,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22705972/94044051
310,Corvus orru,NA,Y,NA,NA,NA,NA
311,Corvus splendens,NA,Y,NA,NA,NA,NA
312,Corvus tristis,NA,Y,NA,NA,NA,NA
313,Corvus typicus,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22705950/130408230
314,Corvus unicolor,NA,Y,Y,NA,SULAWESI (PULAU PELENG),https://www.iucnredlist.org/species/22705953/125525069
315,Corvus validus,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22705963/118785644
316,Crocodylus novaeguineae,NA,Y,NA,NA,NA,NA
317,Crocodylus porosus,NA,Y,NA,NA,NA,NA
318,Crocodylus siamensis,NA,Y,NA,NA,NA,NA
319,Crypsirina temia,NA,Y,NA,NA,NA,NA
320,Cryptophaps poecilorrhoa,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22691847/130181485
321,Cuculus crassirostris,NA,Y,NA,NA,NA,NA
322,Cuculus micropterus,NA,NA,NA,Y,NA,NA
323,Cuculus optatus,NA,NA,NA,Y,NA,NA
324,Cuculus saturatus,NA,NA,NA,Y,NA,NA
325,Cuon alpinus,NA,Y,NA,NA,NA,NA
326,Cyanoderma melanothorax,NA,NA,Y,NA,JAWA & BALI,https://www.iucnredlist.org/species/22716283/131972844
327,Cyanoptila cyanomelana,NA,NA,NA,Y,NA,NA
328,Cyclopsitta diophthalma,NA,Y,NA,NA,NA,NA
329,Cyclopsitta gulielmitertii,NA,Y,Y,NA,PAPUA BARAT,https://www.iucnredlist.org/species/22725355/94891141
330,Cyclopsitta melanogenia,NA,Y,NA,NA,NA,NA
331,Cyclopsitta nigrifrons,NA,Y,NA,NA,NA,NA
332,Cymbidium hartinahianum,NA,Y,NA,NA,NA,NA
333,Cynogale bennettii,NA,Y,NA,NA,NA,NA
334,Cynornis brunneatus,NA,Y,NA,NA,NA,NA
335,Cyornis colonus,NA,NA,Y,NA,MALUKU UTARA & SULAWESI TENGAH,https://www.iucnredlist.org/species/22709166/94194505
336,Cyornis concretus,NA,Y,NA,NA,NA,NA
337,Cyornis djampeanus,NA,NA,Y,NA,SULAWESI (PULAU JAMPEA),https://www.iucnredlist.org/species/103762270/209646469
338,Cyornis hoevelli,Eumyias hoevelli,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22709490/94211850
339,Cyornis oscillans,Eumyias oscillans,NA,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/103761332/111161888
340,Eumyias hoevelli,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22709490/94211850
341,Eumyias oscillans,NA,NA,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/103761332/111161888
342,Cyornis ruckii,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22709502/181037326
343,Cyornis sanfordi,Eumyias sanfordi,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22709482/210367869
344,Cyornis stresemanni,Eumyias stresemanni,NA,Y,NA,NUSA TENGGARA (PULAU SUMBA),https://www.iucnredlist.org/species/103761453/104349252
345,Eumyias sanfordi,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22709482/210367869
346,Eumyias stresemanni,NA,NA,Y,NA,NUSA TENGGARA (PULAU SUMBA),https://www.iucnredlist.org/species/103761453/104349252
347,Dacelo tyro,NA,Y,NA,NA,NA,.
348,Daption capense,NA,Y,NA,NA,NA,NA
349,Delichon dasypus,NA,NA,NA,Y,NA,NA
350,Delphinus capensis,NA,Y,NA,NA,NA,NA
351,Dendrocitta cinerascens,NA,Y,NA,NA,NA,NA
352,Dendrocitta occipitalis,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/103719284/94037616
353,Dendrolagus dorianus,NA,Y,NA,NA,NA,NA
354,Dendrolagus goodfellowi,NA,Y,NA,NA,NA,NA
355,Dendrolagus inustus,NA,Y,NA,NA,NA,NA
356,Dendrolagus mbaiso,NA,Y,NA,NA,NA,NA
357,Dendrolagus ursinus,NA,Y,NA,NA,NA,NA
358,Dendronanthus indicus,NA,NA,NA,Y,NA,NA
359,Dermochelys coriacea,NA,Y,NA,NA,NA,NA
360,Dicaeum annae,NA,NA,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22717469/94533709
361,Dicaeum aureolimbatum,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22717494/131976186
362,Dicaeum beccarii,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/103776954/104323766
363,Dicaeum celebicum,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22717575/131977100
364,Dicaeum erythrothorax,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/103776345/94538261
365,Dicaeum ignicolle,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/103778239/104324966
366,Dicaeum igniferum,NA,NA,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22717562/94539586
367,Dicaeum keiense,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/103778206/132044192
368,Dicaeum nehrkorni,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22717534/94538109
369,Dicaeum sanguinolentum,NA,NA,Y,NA,JAWA & BALI,https://www.iucnredlist.org/species/216915934/217423940
370,Dicaeum schistaceiceps,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/103776352/104322457
371,Dicaeum trochileum,NA,NA,Y,NA,"SUMATERA, JAWA, KALIMANTAN",https://www.iucnredlist.org/species/22717587/94541197
372,Dicaeum wilhelminae,NA,NA,Y,NA,NUSA TENGGARA (PULAU SUMBA),https://www.iucnredlist.org/species/103776669/104323281
373,Dicerorhinus sumatrensis,NA,Y,NA,NA,NA,NA
374,Dicrurus annectens,NA,NA,NA,Y,NA,NA
375,Dicrurus bracteatus,NA,NA,NA,Y,NA,NA
376,Dicrurus hottentottus,NA,NA,NA,Y,NA,NA
377,Dicrurus leucophaeus,NA,NA,NA,Y,NA,NA
378,Dicrurus macrocercus,NA,NA,NA,Y,NA,NA
379,Dicrurus sumatranus,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22706984/111051907
380,Drepanornis albertisi,NA,Y,NA,NA,NA,NA
381,Drepanornis bruijnii,NA,Y,NA,NA,NA,NA
382,Ducula luctuosa,NA,NA,Y,NA,"SULAWESI, MALUKU UTARA",https://www.iucnredlist.org/species/22691807/130181069
383,Ducula neglecta,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/45447768/95155516
384,Ducula obiensis,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22725304/112389970
385,Ducula perspicillata,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/45447765/95155332
386,Ducula spilorrhoa,NA,NA,NA,Y,NA,NA
387,Dugong dugon,NA,Y,NA,NA,NA,NA
388,Eclectus riedeli,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/155073764/155087808
389,Eclectus roratus,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/155072212/155636053#bibliography
390,Edolisoma ceramense,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22706604/94079147
391,Edolisoma dispar,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22706593/179181940
392,Edolisoma grayi,NA,NA,Y,Y,MALUKU,https://www.iucnredlist.org/species/103702585/112379605
393,Edolisoma meyerii,NA,NA,Y,Y,PAPUA,https://www.iucnredlist.org/species/103702598/112381532
394,Edolisoma morio,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22706601/94078991
395,Edolisoma obiense,NA,NA,Y,Y,MALUKU,https://www.iucnredlist.org/species/103702589/112381029
396,Edolisoma sula,NA,NA,Y,NA,MALUKU UTARA,https://www.iucnredlist.org/species/22706588/94078328
397,Edolisoma tenuirostre,NA,NA,NA,Y,NA,NA
398,Egretta eulophotes,NA,Y,NA,Y,NA,NA
399,Egretta garzetta,NA,NA,NA,Y,NA,NA
400,Egretta novaehollandiae,NA,Y,NA,Y,NA,NA
401,Egretta picata,NA,Y,NA,Y,NA,NA
402,Egretta sacra,NA,NA,NA,Y,NA,NA
403,Elanus caeruleus,NA,Y,NA,NA,NA,NA
404,Elephas maximus,NA,Y,NA,NA,NA,NA
405,Enicurus velatus,NA,NA,Y,NA,"SUMATERA, JAWA",https://www.iucnredlist.org/species/22710126/94235417
406,Enodes erythrophris,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22710997/94271863
